MonthKey,PrevBucket,DelinquencyBucket,AccountCount,BalanceMoved
20250201,30 DPD,30 DPD,44,2083343.88
20250201,30 DPD,60 DPD,11,270279.98
20250201,30 DPD,Current,65,1550566.29
20250201,Current,30 DPD,130,5720629.74
20250201,Current,Current,1983,71332991.09
20250301,30 DPD,30 DPD,72,3017427.2
20250301,30 DPD,60 DPD,9,167752.86
20250301,30 DPD,Current,93,4526603.48
20250301,60 DPD,30 DPD,1,7938.18
20250301,60 DPD,60 DPD,8,211663.68
20250301,60 DPD,90 DPD,2,47336.71
20250301,Current,30 DPD,105,3046901.44
20250301,Current,Current,1943,68914483.72
20250401,30 DPD,30 DPD,69,2226860.36
20250401,30 DPD,60 DPD,17,916013.93
20250401,30 DPD,Current,92,2856463.15
20250401,60 DPD,30 DPD,12,227791.86
20250401,60 DPD,60 DPD,3,102759.23
20250401,60 DPD,90 DPD,2,43660.81
20250401,90 DPD,90 DPD,2,46856.81
20250401,Current,30 DPD,122,4796001.24
20250401,Current,Current,1914,67731018.89
20250501,30 DPD,30 DPD,95,3853562.85
20250501,30 DPD,60 DPD,18,601123.41
20250501,30 DPD,Current,90,2707609.94
20250501,60 DPD,30 DPD,7,176185.58
20250501,60 DPD,60 DPD,8,615140.77
20250501,60 DPD,90 DPD,5,216236.17
20250501,90 DPD,60 DPD,3,74481.04000000001
20250501,90 DPD,90 DPD,1,15180.93
20250501,Current,30 DPD,104,4538393.21
20250501,Current,Current,1902,65161064.09
20250601,30 DPD,30 DPD,77,3519541.29
20250601,30 DPD,60 DPD,16,451223.48
20250601,30 DPD,Current,113,4497950.67
20250601,60 DPD,30 DPD,20,872719.75
20250601,60 DPD,60 DPD,9,401676.39
20250601,90 DPD,120+ DPD,1,16196.68
20250601,90 DPD,60 DPD,5,212139.44
20250601,Current,30 DPD,105,3410485.44
20250601,Current,Current,1887,63598462.26
20250701,120+ DPD,120+ DPD,1,15893.99
20250701,30 DPD,30 DPD,82,3017961.78
20250701,30 DPD,60 DPD,20,738617.97
20250701,30 DPD,Current,100,3951266.61
20250701,60 DPD,30 DPD,13,542155.4099999999
20250701,60 DPD,60 DPD,12,325798.6
20250701,60 DPD,90 DPD,5,181778.88
20250701,Current,30 DPD,100,3593330.5
20250701,Current,Current,1900,63643586.06
20250801,120+ DPD,90 DPD,1,15780.39
20250801,30 DPD,30 DPD,93,3019686.11
20250801,30 DPD,60 DPD,22,1075574.36
20250801,30 DPD,Current,80,2968510.5700000003
20250801,60 DPD,30 DPD,17,603886.92
20250801,60 DPD,60 DPD,11,336952.36
20250801,60 DPD,90 DPD,4,110435.49
20250801,90 DPD,120+ DPD,1,5525.08
20250801,90 DPD,60 DPD,1,75754.74
20250801,90 DPD,90 DPD,3,97903.52
20250801,Current,30 DPD,117,4028391.43
20250801,Current,Current,1883,62720336.57
20250901,120+ DPD,120+ DPD,1,5488.45
20250901,30 DPD,30 DPD,94,3144399.82
20250901,30 DPD,60 DPD,24,855900.72
20250901,30 DPD,Current,109,3562940.62
20250901,60 DPD,30 DPD,18,578929.13
20250901,60 DPD,60 DPD,11,650882.54
20250901,60 DPD,90 DPD,5,239940.51
20250901,90 DPD,60 DPD,7,199504.17
20250901,90 DPD,90 DPD,1,21273.92
20250901,Current,30 DPD,93,2694714.94
20250901,Current,Current,1870,62160243.34
20251001,120+ DPD,90 DPD,1,5378.87
20251001,30 DPD,30 DPD,78,2594498.71
20251001,30 DPD,60 DPD,12,626365.64
20251001,30 DPD,Current,115,3115624.63
20251001,60 DPD,30 DPD,19,595250.41
20251001,60 DPD,60 DPD,18,897495.38
20251001,60 DPD,90 DPD,5,190062.8
20251001,90 DPD,120+ DPD,1,20907.63
20251001,90 DPD,90 DPD,5,237107.76
20251001,Current,30 DPD,84,2314696.03
20251001,Current,Current,1895,62580559.3
20251101,120+ DPD,120+ DPD,1,20703.4
20251101,30 DPD,30 DPD,71,1996242.28
20251101,30 DPD,60 DPD,15,363947.84
20251101,30 DPD,Current,95,3076772.72
20251101,60 DPD,30 DPD,13,879394.8300000001
20251101,60 DPD,60 DPD,10,397137.48
20251101,60 DPD,90 DPD,7,231906.91
20251101,90 DPD,120+ DPD,1,62569.06
20251101,90 DPD,60 DPD,6,304507.27
20251101,90 DPD,90 DPD,4,60221.03
20251101,Current,30 DPD,95,2402177.86
20251101,Current,Current,1915,62500472.79
20251201,120+ DPD,120+ DPD,1,20383.28
20251201,120+ DPD,90 DPD,1,61696.8
20251201,30 DPD,30 DPD,82,2269468.36
20251201,30 DPD,60 DPD,22,585089.21
