DateKey,AccountKey,CustomerKey,ProductKey,BranchKey,EndingBalance,DaysPastDue,DelinquencyBucket,IsNonPerforming,RollStatus,CECLStage
20250101,2,1,7,22,14812.17,0,Current,False,New,Stage 1 - Performing
20250201,2,1,7,22,14560.57,0,Current,False,Stable,Stage 1 - Performing
20250301,2,1,7,22,14324.81,30,30 DPD,False,Worsened,Stage 2 - SICR
20250401,2,1,7,22,14250.24,0,Current,False,Cured,Stage 1 - Performing
20250501,2,1,7,22,14095.21,0,Current,False,Stable,Stage 1 - Performing
20250601,2,1,7,22,14009.56,0,Current,False,Stable,Stage 1 - Performing
20250701,2,1,7,22,13857.75,0,Current,False,Stable,Stage 1 - Performing
20250801,2,1,7,22,13727.1,0,Current,False,Stable,Stage 1 - Performing
20250901,2,1,7,22,13531.29,0,Current,False,Stable,Stage 1 - Performing
20251001,2,1,7,22,13370.63,0,Current,False,Stable,Stage 1 - Performing
20251101,2,1,7,22,13197.81,0,Current,False,Stable,Stage 1 - Performing
20251201,2,1,7,22,13035.43,0,Current,False,Stable,Stage 1 - Performing
20260101,2,1,7,22,12954.35,0,Current,False,Stable,Stage 1 - Performing
20260201,2,1,7,22,12754.13,30,30 DPD,False,Worsened,Stage 2 - SICR
20260301,2,1,7,22,12681.26,30,30 DPD,False,Stable,Stage 2 - SICR
20260401,2,1,7,22,12480.53,0,Current,False,Cured,Stage 1 - Performing
20260501,2,1,7,22,12337.53,0,Current,False,Stable,Stage 1 - Performing
20260601,2,1,7,22,12245.08,0,Current,False,Stable,Stage 1 - Performing
20250101,5,2,9,30,30093.08,0,Current,False,New,Stage 1 - Performing
20250201,5,2,9,30,29751.43,0,Current,False,Stable,Stage 1 - Performing
20250301,5,2,9,30,29451.37,0,Current,False,Stable,Stage 1 - Performing
20250401,5,2,9,30,28901.71,0,Current,False,Stable,Stage 1 - Performing
20250501,5,2,9,30,28347.72,0,Current,False,Stable,Stage 1 - Performing
20250601,5,2,9,30,28085.54,0,Current,False,Stable,Stage 1 - Performing
20250701,5,2,9,30,27834.9,0,Current,False,Stable,Stage 1 - Performing
20250801,5,2,9,30,27408.3,0,Current,False,Stable,Stage 1 - Performing
20250901,5,2,9,30,27154.49,0,Current,False,Stable,Stage 1 - Performing
20251001,5,2,9,30,26770.43,0,Current,False,Stable,Stage 1 - Performing
20251101,5,2,9,30,26604.19,0,Current,False,Stable,Stage 1 - Performing
20251201,5,2,9,30,26151.75,0,Current,False,Stable,Stage 1 - Performing
20260101,5,2,9,30,25843.95,0,Current,False,Stable,Stage 1 - Performing
20260201,5,2,9,30,25411.55,0,Current,False,Stable,Stage 1 - Performing
20260301,5,2,9,30,25068.44,0,Current,False,Stable,Stage 1 - Performing
20260401,5,2,9,30,24776.08,0,Current,False,Stable,Stage 1 - Performing
20260501,5,2,9,30,24515.38,0,Current,False,Stable,Stage 1 - Performing
20260601,5,2,9,30,24299.45,0,Current,False,Stable,Stage 1 - Performing
20250101,14,6,8,32,8608.71,0,Current,False,New,Stage 1 - Performing
20250201,14,6,8,32,8520.4,0,Current,False,Stable,Stage 1 - Performing
20250301,14,6,8,32,8405.9,0,Current,False,Stable,Stage 1 - Performing
20250401,14,6,8,32,8280.15,0,Current,False,Stable,Stage 1 - Performing
20250501,14,6,8,32,8139.56,0,Current,False,Stable,Stage 1 - Performing
20250601,14,6,8,32,7996.3,0,Current,False,Stable,Stage 1 - Performing
20250701,14,6,8,32,7860.66,0,Current,False,Stable,Stage 1 - Performing
20250801,14,6,8,32,7712.64,0,Current,False,Stable,Stage 1 - Performing
20250901,14,6,8,32,7629.23,0,Current,False,Stable,Stage 1 - Performing
20251001,14,6,8,32,7549.4,0,Current,False,Stable,Stage 1 - Performing
20251101,14,6,8,32,7495.41,0,Current,False,Stable,Stage 1 - Performing
20251201,14,6,8,32,7367.68,0,Current,False,Stable,Stage 1 - Performing
20260101,14,6,8,32,7237.94,30,30 DPD,False,Worsened,Stage 2 - SICR
20260201,14,6,8,32,7194.41,60,60 DPD,False,Worsened,Stage 2 - SICR
20260301,14,6,8,32,7102.36,90,90 DPD,True,Worsened,Stage 3 - Impaired
20260401,14,6,8,32,6992.06,90,90 DPD,True,Stable,Stage 3 - Impaired
20260501,14,6,8,32,6906.94,90,90 DPD,True,Stable,Stage 3 - Impaired
20260601,14,6,8,32,6860.1,60,60 DPD,False,Cured,Stage 2 - SICR
20250101,23,9,7,9,15550.54,0,Current,False,New,Stage 1 - Performing
20250201,23,9,7,9,15295.95,0,Current,False,Stable,Stage 1 - Performing
20250301,23,9,7,9,15027.97,0,Current,False,Stable,Stage 1 - Performing
20250401,23,9,7,9,14860.21,30,30 DPD,False,Worsened,Stage 2 - SICR
20250501,23,9,7,9,14585.38,30,30 DPD,False,Stable,Stage 2 - SICR
20250601,23,9,7,9,14417.2,0,Current,False,Cured,Stage 1 - Performing
20250701,23,9,7,9,14228.65,0,Current,False,Stable,Stage 1 - Performing
20250801,23,9,7,9,14133.3,0,Current,False,Stable,Stage 1 - Performing
20250901,23,9,7,9,14052.24,0,Current,False,Stable,Stage 1 - Performing
20251001,23,9,7,9,13971.42,0,Current,False,Stable,Stage 1 - Performing
20251101,23,9,7,9,13763.77,0,Current,False,Stable,Stage 1 - Performing
20251201,23,9,7,9,13582.01,0,Current,False,Stable,Stage 1 - Performing
20260101,23,9,7,9,13317.41,0,Current,False,Stable,Stage 1 - Performing
20260201,23,9,7,9,13211.19,0,Current,False,Stable,Stage 1 - Performing
20260301,23,9,7,9,13006.58,0,Current,False,Stable,Stage 1 - Performing
20260401,23,9,7,9,12894.55,0,Current,False,Stable,Stage 1 - Performing
20260501,23,9,7,9,12797.17,0,Current,False,Stable,Stage 1 - Performing
20260601,23,9,7,9,12667.42,0,Current,False,Stable,Stage 1 - Performing
20250101,26,10,9,17,26620.22,0,Current,False,New,Stage 1 - Performing
20250201,26,10,9,17,26231.73,0,Current,False,Stable,Stage 1 - Performing
20250301,26,10,9,17,25921.71,30,30 DPD,False,Worsened,Stage 2 - SICR
20250401,26,10,9,17,25496.84,0,Current,False,Cured,Stage 1 - Performing
20250501,26,10,9,17,25185.29,0,Current,False,Stable,Stage 1 - Performing
20250601,26,10,9,17,24964.71,0,Current,False,Stable,Stage 1 - Performing
20250701,26,10,9,17,24648.84,0,Current,False,Stable,Stage 1 - Performing
20250801,26,10,9,17,24217.88,0,Current,False,Stable,Stage 1 - Performing
20250901,26,10,9,17,23969.77,0,Current,False,Stable,Stage 1 - Performing
20251001,26,10,9,17,23765.64,0,Current,False,Stable,Stage 1 - Performing
20251101,26,10,9,17,23551.49,0,Current,False,Stable,Stage 1 - Performing
20251201,26,10,9,17,23145.72,0,Current,False,Stable,Stage 1 - Performing
20260101,26,10,9,17,22899.87,0,Current,False,Stable,Stage 1 - Performing
20260201,26,10,9,17,22476.48,0,Current,False,Stable,Stage 1 - Performing
20260301,26,10,9,17,22041.95,0,Current,False,Stable,Stage 1 - Performing
20260401,26,10,9,17,21689.07,0,Current,False,Stable,Stage 1 - Performing
20260501,26,10,9,17,21548.19,0,Current,False,Stable,Stage 1 - Performing
20260601,26,10,9,17,21428.22,0,Current,False,Stable,Stage 1 - Performing
20250101,36,15,6,1,14847.4,0,Current,False,New,Stage 1 - Performing
20250201,36,15,6,1,14554.14,0,Current,False,Stable,Stage 1 - Performing
20250301,36,15,6,1,14449.61,0,Current,False,Stable,Stage 1 - Performing
20250401,36,15,6,1,14201.04,0,Current,False,Stable,Stage 1 - Performing
20250501,36,15,6,1,14009.31,0,Current,False,Stable,Stage 1 - Performing
20250601,36,15,6,1,13815.87,0,Current,False,Stable,Stage 1 - Performing
20250701,36,15,6,1,13696.13,0,Current,False,Stable,Stage 1 - Performing
20250801,36,15,6,1,13618.5,0,Current,False,Stable,Stage 1 - Performing
20250901,36,15,6,1,13404.0,30,30 DPD,False,Worsened,Stage 2 - SICR
20251001,36,15,6,1,13319.06,0,Current,False,Cured,Stage 1 - Performing
20251101,36,15,6,1,13217.88,0,Current,False,Stable,Stage 1 - Performing
20251201,36,15,6,1,13068.39,0,Current,False,Stable,Stage 1 - Performing
20260101,36,15,6,1,12845.56,0,Current,False,Stable,Stage 1 - Performing
20260201,36,15,6,1,12721.89,0,Current,False,Stable,Stage 1 - Performing
20260301,36,15,6,1,12635.51,0,Current,False,Stable,Stage 1 - Performing
20260401,36,15,6,1,12481.88,30,30 DPD,False,Worsened,Stage 2 - SICR
20260501,36,15,6,1,12239.29,30,30 DPD,False,Stable,Stage 2 - SICR
20260601,36,15,6,1,12096.17,60,60 DPD,False,Worsened,Stage 2 - SICR
20250101,43,17,7,18,7803.95,0,Current,False,New,Stage 1 - Performing
20250201,43,17,7,18,7747.06,0,Current,False,Stable,Stage 1 - Performing
20250301,43,17,7,18,7689.45,0,Current,False,Stable,Stage 1 - Performing
20250401,43,17,7,18,7591.91,30,30 DPD,False,Worsened,Stage 2 - SICR
20250501,43,17,7,18,7510.47,30,30 DPD,False,Stable,Stage 2 - SICR
20250601,43,17,7,18,7424.77,30,30 DPD,False,Stable,Stage 2 - SICR
20250701,43,17,7,18,7280.31,0,Current,False,Cured,Stage 1 - Performing
20250801,43,17,7,18,7180.18,0,Current,False,Stable,Stage 1 - Performing
20250901,43,17,7,18,7064.02,0,Current,False,Stable,Stage 1 - Performing
20251001,43,17,7,18,6955.23,0,Current,False,Stable,Stage 1 - Performing
20251101,43,17,7,18,6857.01,0,Current,False,Stable,Stage 1 - Performing
20251201,43,17,7,18,6736.29,0,Current,False,Stable,Stage 1 - Performing
20260101,43,17,7,18,6652.95,0,Current,False,Stable,Stage 1 - Performing
20260201,43,17,7,18,6573.54,0,Current,False,Stable,Stage 1 - Performing
20260301,43,17,7,18,6493.18,0,Current,False,Stable,Stage 1 - Performing
20260401,43,17,7,18,6398.12,0,Current,False,Stable,Stage 1 - Performing
20260501,43,17,7,18,6349.69,0,Current,False,Stable,Stage 1 - Performing
20260601,43,17,7,18,6265.52,0,Current,False,Stable,Stage 1 - Performing
20250101,45,18,6,37,6110.95,0,Current,False,New,Stage 1 - Performing
20250201,45,18,6,37,6055.78,0,Current,False,Stable,Stage 1 - Performing
20250301,45,18,6,37,5974.98,30,30 DPD,False,Worsened,Stage 2 - SICR
20250401,45,18,6,37,5913.47,30,30 DPD,False,Stable,Stage 2 - SICR
20250501,45,18,6,37,5811.04,30,30 DPD,False,Stable,Stage 2 - SICR
20250601,45,18,6,37,5771.49,0,Current,False,Cured,Stage 1 - Performing
20250701,45,18,6,37,5658.33,0,Current,False,Stable,Stage 1 - Performing
20250801,45,18,6,37,5560.13,0,Current,False,Stable,Stage 1 - Performing
20250901,45,18,6,37,5518.69,0,Current,False,Stable,Stage 1 - Performing
20251001,45,18,6,37,5423.25,0,Current,False,Stable,Stage 1 - Performing
20251101,45,18,6,37,5333.3,0,Current,False,Stable,Stage 1 - Performing
20251201,45,18,6,37,5244.39,0,Current,False,Stable,Stage 1 - Performing
20260101,45,18,6,37,5158.65,0,Current,False,Stable,Stage 1 - Performing
20260201,45,18,6,37,5087.22,0,Current,False,Stable,Stage 1 - Performing
20260301,45,18,6,37,5017.31,0,Current,False,Stable,Stage 1 - Performing
20260401,45,18,6,37,4982.04,0,Current,False,Stable,Stage 1 - Performing
20260501,45,18,6,37,4892.06,0,Current,False,Stable,Stage 1 - Performing
20260601,45,18,6,37,4855.47,0,Current,False,Stable,Stage 1 - Performing
20250101,47,19,8,27,100496.43,0,Current,False,New,Stage 1 - Performing
20250201,47,19,8,27,99992.71,0,Current,False,Stable,Stage 1 - Performing
20250301,47,19,8,27,98279.18,0,Current,False,Stable,Stage 1 - Performing
20250401,47,19,8,27,96762.39,0,Current,False,Stable,Stage 1 - Performing
20250501,47,19,8,27,95941.3,0,Current,False,Stable,Stage 1 - Performing
20250601,47,19,8,27,95338.56,0,Current,False,Stable,Stage 1 - Performing
20250701,47,19,8,27,93811.66,0,Current,False,Stable,Stage 1 - Performing
20250801,47,19,8,27,92906.41,0,Current,False,Stable,Stage 1 - Performing
20250901,47,19,8,27,91399.95,0,Current,False,Stable,Stage 1 - Performing
20251001,47,19,8,27,89986.19,0,Current,False,Stable,Stage 1 - Performing
20251101,47,19,8,27,88907.15,0,Current,False,Stable,Stage 1 - Performing
20251201,47,19,8,27,87943.17,0,Current,False,Stable,Stage 1 - Performing
20260101,47,19,8,27,86967.41,0,Current,False,Stable,Stage 1 - Performing
20260201,47,19,8,27,86041.77,0,Current,False,Stable,Stage 1 - Performing
20260301,47,19,8,27,84921.57,0,Current,False,Stable,Stage 1 - Performing
20260401,47,19,8,27,84248.75,0,Current,False,Stable,Stage 1 - Performing
20260501,47,19,8,27,82944.49,0,Current,False,Stable,Stage 1 - Performing
20260601,47,19,8,27,82181.38,0,Current,False,Stable,Stage 1 - Performing
20250101,49,20,7,28,34348.81,0,Current,False,New,Stage 1 - Performing
20250201,49,20,7,28,34017.19,0,Current,False,Stable,Stage 1 - Performing
20250301,49,20,7,28,33491.75,0,Current,False,Stable,Stage 1 - Performing
20250401,49,20,7,28,32935.18,0,Current,False,Stable,Stage 1 - Performing
20250501,49,20,7,28,32395.18,0,Current,False,Stable,Stage 1 - Performing
20250601,49,20,7,28,31824.32,0,Current,False,Stable,Stage 1 - Performing
20250701,49,20,7,28,31367.5,0,Current,False,Stable,Stage 1 - Performing
20250801,49,20,7,28,30852.33,0,Current,False,Stable,Stage 1 - Performing
20250901,49,20,7,28,30291.47,0,Current,False,Stable,Stage 1 - Performing
20251001,49,20,7,28,29956.87,0,Current,False,Stable,Stage 1 - Performing
20251101,49,20,7,28,29465.48,0,Current,False,Stable,Stage 1 - Performing
20251201,49,20,7,28,29175.1,30,30 DPD,False,Worsened,Stage 2 - SICR
20260101,49,20,7,28,28986.87,30,30 DPD,False,Stable,Stage 2 - SICR
20260201,49,20,7,28,28639.65,30,30 DPD,False,Stable,Stage 2 - SICR
20260301,49,20,7,28,28122.58,30,30 DPD,False,Stable,Stage 2 - SICR
20260401,49,20,7,28,27824.23,0,Current,False,Cured,Stage 1 - Performing
20260501,49,20,7,28,27485.12,0,Current,False,Stable,Stage 1 - Performing
20260601,49,20,7,28,27227.39,0,Current,False,Stable,Stage 1 - Performing
20250101,52,21,7,4,91155.38,0,Current,False,New,Stage 1 - Performing
20250201,52,21,7,4,90521.09,0,Current,False,Stable,Stage 1 - Performing
20250301,52,21,7,4,88798.42,0,Current,False,Stable,Stage 1 - Performing
20250401,52,21,7,4,87941.09,0,Current,False,Stable,Stage 1 - Performing
20250501,52,21,7,4,86607.32,0,Current,False,Stable,Stage 1 - Performing
20250601,52,21,7,4,86050.22,0,Current,False,Stable,Stage 1 - Performing
20250701,52,21,7,4,85255.27,0,Current,False,Stable,Stage 1 - Performing
20250801,52,21,7,4,83868.8,0,Current,False,Stable,Stage 1 - Performing
20250901,52,21,7,4,82216.3,0,Current,False,Stable,Stage 1 - Performing
20251001,52,21,7,4,80609.58,0,Current,False,Stable,Stage 1 - Performing
20251101,52,21,7,4,79476.06,0,Current,False,Stable,Stage 1 - Performing
20251201,52,21,7,4,78738.93,0,Current,False,Stable,Stage 1 - Performing
20260101,52,21,7,4,77952.11,0,Current,False,Stable,Stage 1 - Performing
20260201,52,21,7,4,76561.66,0,Current,False,Stable,Stage 1 - Performing
20260301,52,21,7,4,75114.0,0,Current,False,Stable,Stage 1 - Performing
20260401,52,21,7,4,73952.8,0,Current,False,Stable,Stage 1 - Performing
20260501,52,21,7,4,72791.65,0,Current,False,Stable,Stage 1 - Performing
20260601,52,21,7,4,71529.74,0,Current,False,Stable,Stage 1 - Performing
20250101,65,25,6,36,3505.77,0,Current,False,New,Stage 1 - Performing
20250201,65,25,6,36,3457.53,0,Current,False,Stable,Stage 1 - Performing
20250301,65,25,6,36,3418.06,0,Current,False,Stable,Stage 1 - Performing
20250401,65,25,6,36,3358.53,30,30 DPD,False,Worsened,Stage 2 - SICR
20250501,65,25,6,36,3294.02,0,Current,False,Cured,Stage 1 - Performing
20250601,65,25,6,36,3238.36,30,30 DPD,False,Worsened,Stage 2 - SICR
20250701,65,25,6,36,3194.31,30,30 DPD,False,Stable,Stage 2 - SICR
20250801,65,25,6,36,3172.62,60,60 DPD,False,Worsened,Stage 2 - SICR
20250901,65,25,6,36,3145.27,30,30 DPD,False,Cured,Stage 2 - SICR
20251001,65,25,6,36,3088.31,0,Current,False,Cured,Stage 1 - Performing
20251101,65,25,6,36,3041.58,0,Current,False,Stable,Stage 1 - Performing
20251201,65,25,6,36,3002.21,0,Current,False,Stable,Stage 1 - Performing
20260101,65,25,6,36,2982.96,0,Current,False,Stable,Stage 1 - Performing
20260201,65,25,6,36,2958.5,0,Current,False,Stable,Stage 1 - Performing
20260301,65,25,6,36,2920.82,0,Current,False,Stable,Stage 1 - Performing
20260401,65,25,6,36,2898.69,0,Current,False,Stable,Stage 1 - Performing
20260501,65,25,6,36,2848.42,30,30 DPD,False,Worsened,Stage 2 - SICR
20260601,65,25,6,36,2810.16,0,Current,False,Cured,Stage 1 - Performing
20250101,71,27,8,32,45855.35,0,Current,False,New,Stage 1 - Performing
20250201,71,27,8,32,45602.85,0,Current,False,Stable,Stage 1 - Performing
20250301,71,27,8,32,45322.07,0,Current,False,Stable,Stage 1 - Performing
20250401,71,27,8,32,44747.93,0,Current,False,Stable,Stage 1 - Performing
20250501,71,27,8,32,44047.15,0,Current,False,Stable,Stage 1 - Performing
20250601,71,27,8,32,43411.61,0,Current,False,Stable,Stage 1 - Performing
20250701,71,27,8,32,43110.52,0,Current,False,Stable,Stage 1 - Performing
20250801,71,27,8,32,42670.32,0,Current,False,Stable,Stage 1 - Performing
20250901,71,27,8,32,42195.91,0,Current,False,Stable,Stage 1 - Performing
20251001,71,27,8,32,41487.9,0,Current,False,Stable,Stage 1 - Performing
20251101,71,27,8,32,41073.05,30,30 DPD,False,Worsened,Stage 2 - SICR
20251201,71,27,8,32,40524.87,0,Current,False,Cured,Stage 1 - Performing
20260101,71,27,8,32,40228.53,30,30 DPD,False,Worsened,Stage 2 - SICR
20260201,71,27,8,32,40007.51,30,30 DPD,False,Stable,Stage 2 - SICR
20260301,71,27,8,32,39790.08,0,Current,False,Cured,Stage 1 - Performing
20260401,71,27,8,32,39245.59,0,Current,False,Stable,Stage 1 - Performing
20260501,71,27,8,32,38877.88,0,Current,False,Stable,Stage 1 - Performing
20260601,71,27,8,32,38247.02,0,Current,False,Stable,Stage 1 - Performing
20250101,74,28,12,11,21176.89,0,Current,False,New,Stage 1 - Performing
20250201,74,28,12,11,20993.69,0,Current,False,Stable,Stage 1 - Performing
20250301,74,28,12,11,20773.72,0,Current,False,Stable,Stage 1 - Performing
20250401,74,28,12,11,20388.82,30,30 DPD,False,Worsened,Stage 2 - SICR
20250501,74,28,12,11,20133.79,30,30 DPD,False,Stable,Stage 2 - SICR
